Date,Frame,Movement,Camera_Position_x,Camera_Position_y,Camera_Position_z,Camera_Rotation_x,Camera_Rotation_y,Camera_Rotation_z,Camera_Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w
07/20/2023 15:03:01.613922,0,start,-1.73, 1.05, 0.30,0.11453, -0.45835, -0.03131, -0.88081,-1.75, 1.05, 0.32,-0.14677, 0.37407, 0.06009, 0.91374,341.75, 44.53, 0.00,0.67, 0.31, 0.68,0.71, 0.00, -0.70,-0.22, 0.95, -0.22,TrackingSpace,0.9980469,-1.71, 1.05, 0.27,-0.14777, 0.35318, 0.05660, 0.92208,341.79, 41.92, 0.00,0.63, 0.31, 0.71,0.74, 0.00, -0.67,-0.21, 0.95, -0.23,TrackingSpace,0.9980469,-1.02, 1.73, 1.04,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 15:03:01.643492,1,start,-1.73, 1.05, 0.30,0.12014, -0.45662, -0.03351, -0.88088,-1.75, 1.05, 0.32,-0.14677, 0.37407, 0.06009, 0.91374,341.75, 44.53, 0.00,0.67, 0.31, 0.68,0.71, 0.00, -0.70,-0.22, 0.95, -0.22,TrackingSpace,0.9980469,-1.71, 1.05, 0.27,-0.14777, 0.35318, 0.05660, 0.92208,341.79, 41.92, 0.00,0.63, 0.31, 0.71,0.74, 0.00, -0.67,-0.21, 0.95, -0.23,TrackingSpace,0.9980469,-1.02, 1.73, 1.04,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 15:03:01.683393,2,start,-1.73, 1.05, 0.30,0.12857, -0.45405, -0.03680, -0.88088,-1.75, 1.05, 0.32,-0.14201, 0.37413, 0.05809, 0.91460,342.35, 44.49, 0.00,0.67, 0.30, 0.68,0.71, 0.00, -0.70,-0.21, 0.95, -0.22,TrackingSpace,0.9980469,-1.71, 1.05, 0.27,-0.14307, 0.35253, 0.05463, 0.92318,342.38, 41.80, 0.00,0.64, 0.30, 0.71,0.75, 0.00, -0.67,-0.20, 0.95, -0.23,TrackingSpace,0.9980469,-1.02, 1.73, 1.04,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 15:03:01.711987,3,start,-1.73, 1.05, 0.30,0.13455, -0.45221, -0.03847, -0.88086,-1.75, 1.05, 0.32,-0.14821, 0.37219, 0.06034, 0.91426,341.58, 44.30, 0.00,0.66, 0.32, 0.68,0.72, 0.00, -0.70,-0.22, 0.95, -0.23,TrackingSpace,0.9980469,-1.71, 1.05, 0.27,-0.14925, 0.35169, 0.05691, 0.92239,341.62, 41.74, 0.00,0.63, 0.32, 0.71,0.75, 0.00, -0.67,-0.21, 0.95, -0.24,TrackingSpace,0.9980469,-1.02, 1.73, 1.04,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 15:03:01.740623,4,start,-1.73, 1.05, 0.30,0.14053, -0.45022, -0.03982, -0.88089,-1.75, 1.05, 0.32,-0.14821, 0.37219, 0.06034, 0.91426,341.58, 44.30, 0.00,0.66, 0.32, 0.68,0.72, 0.00, -0.70,-0.22, 0.95, -0.23,TrackingSpace,0.9980469,-1.71, 1.05, 0.27,-0.14925, 0.35169, 0.05691, 0.92239,341.62, 41.74, 0.00,0.63, 0.32, 0.71,0.75, 0.00, -0.67,-0.21, 0.95, -0.24,TrackingSpace,0.9980469,-1.02, 1.73, 1.04,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 15:03:01.769459,5,start,-1.73, 1.05, 0.30,0.14566, -0.44887, -0.04049, -0.88072,-1.75, 1.05, 0.32,-0.21146, 0.36566, 0.08569, 0.90235,333.62, 44.12, 0.00,0.62, 0.44, 0.64,0.72, 0.00, -0.70,-0.31, 0.90, -0.32,TrackingSpace,0.9980469,-1.71, 1.05, 0.27,-0.21259, 0.34527, 0.08061, 0.91055,333.72, 41.53, 0.00,0.59, 0.44, 0.67,0.75, 0.00, -0.66,-0.29, 0.90, -0.33,TrackingSpace,0.9980469,-1.02, 1.73, 1.04,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 15:03:01.797641,6,start,-1.73, 1.05, 0.30,0.15004, -0.44849, -0.03998, -0.88020,-1.75, 1.05, 0.32,-0.24090, 0.37698, 0.10221, 0.88849,329.66, 45.98, 0.00,0.62, 0.51, 0.60,0.69, 0.00, -0.72,-0.36, 0.86, -0.35,TrackingSpace,0.9980469,-1.71, 1.05, 0.27,-0.24258, 0.35661, 0.09643, 0.89704,329.74, 43.36, 0.00,0.59, 0.50, 0.63,0.73, 0.00, -0.69,-0.35, 0.86, -0.37,TrackingSpace,0.9980469,-1.02, 1.73, 1.04,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 15:03:01.826006,7,start,-1.73, 1.05, 0.30,0.15377, -0.44848, -0.03915, -0.87959,-1.75, 1.05, 0.32,-0.25154, 0.37479, 0.10641, 0.88597,328.30, 45.86, 0.00,0.61, 0.53, 0.59,0.70, 0.00, -0.72,-0.38, 0.85, -0.37,TrackingSpace,0.9980469,-1.71, 1.05, 0.27,-0.25325, 0.35527, 0.10062, 0.89416,328.37, 43.34, 0.00,0.58, 0.52, 0.62,0.73, 0.00, -0.69,-0.36, 0.85, -0.38,TrackingSpace,0.9980469,-1.02, 1.73, 1.04,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 15:03:01.853964,8,start,-1.73, 1.05, 0.30,0.15536, -0.44855, -0.03913, -0.87928,-1.75, 1.05, 0.32,-0.27211, 0.36819, 0.11362, 0.88175,325.70, 45.33, 0.00,0.59, 0.56, 0.58,0.70, 0.00, -0.71,-0.40, 0.83, -0.40,TrackingSpace,0.9980469,-1.71, 1.05, 0.27,-0.27372, 0.35064, 0.10795, 0.88908,325.78, 43.05, 0.00,0.56, 0.56, 0.60,0.73, 0.00, -0.68,-0.38, 0.83, -0.41,TrackingSpace,0.9980469,-1.02, 1.73, 1.04,0.00000, 0.00000, 0.00000, 1.00000
07/20/2023 15:03:01.881978,9,start,-1.73, 1.05, 0.30,0.15566, -0.44870, -0.04018, -0.87910,-1.75, 1.05, 0.32,-0.27560, 0.36813, 0.11523, 0.88048,325.24, 45.38, 0.00,0.58, 0.57, 0.58,0.70, 0.00, -0.71,-0.41, 0.82, -0.40,TrackingSpace,0.9980469,-1.71, 1.05, 0.27,-0.27724, 0.35124, 0.10972, 0.88754,325.31, 43.18, 0.00,0.56, 0.57, 0.60,0.73, 0.00, -0.68,-0.39, 0.82, -0.42,TrackingSpace,0.9980469,-1.02, 1.73, 1.04,0.00000, 0.00000, 0.00000, 1.00000
